Location,Latitude,Longitude,AircraftId,Date,Origin,Destination,DepartureAEST,ArrivalAEST
Adelaide,-34.934399,138.541505,FD534,11/7/2022,Adelaide (ADL / YPAD),Port Augusta (PUG / YPAG),21:30:00,21:45:00
Adelaide,-34.934399,138.541505,FD596,14/7/2022,Adelaide (ADL / YPAD),Mount Gambier (MGB / YMTG),02:26:00,02:43:00
Adelaide,-34.934399,138.541505,FD596,7/7/2022,Adelaide (ADL / YPAD),Port Lincoln (PLO / YPLC),18:52:00,19:03:00
Adelaide,-34.934399,138.541505,FD534,15/7/2022,Adelaide (ADL / YPAD),Whyalla (WYA / YWHA),00:16:00,00:31:00
Adelaide,-34.934399,138.541505,FD596,8/7/2022,Adelaide (ADL / YPAD),Mount Gambier (MGB / YMTG),15:09:00,15:26:00
Adelaide,-34.934399,138.541505,FD580,8/7/2022,Adelaide (ADL / YPAD),Whyalla (WYA / YWHA),17:03:00,17:12:00
Adelaide,-34.934399,138.541505,FD534,15/7/2022,Adelaide (ADL / YPAD),Pinaroo (YPNN),13:59:00,14:07:00
Adelaide,-34.934399,138.541505,FD538,17/7/2022,Adelaide (ADL / YPAD),Mount Gambier (MGB / YMTG),12:31:00,12:47:00
Adelaide,-34.934399,138.541505,FD580,10/7/2022,Adelaide (ADL / YPAD),Tumby Bay (YTBB),21:17:00,21:31:00
Adelaide,-34.934399,138.541505,FD596,8/7/2022,Adelaide (ADL / YPAD),Port Augusta (PUG / YPAG),13:56:00,14:07:00
Adelaide,-34.934399,138.541505,FD596,11/7/2022,Adelaide (ADL / YPAD),Port Augusta (PUG / YPAG),11:43:00,11:58:00
Adelaide,-34.934399,138.541505,FD534,10/7/2022,Adelaide (ADL / YPAD),Tumby Bay (YTBB),20:56:00,21:10:00
Adelaide,-34.934399,138.541505,FD596,5/7/2022,Adelaide (ADL / YPAD),Millicent (MLR / YMCT),17:47:00,18:03:00
Adelaide,-34.934399,138.541505,FD596,13/7/2022,Adelaide (ADL / YPAD),Renmark (RMK / YREN),05:37:00,05:45:00
Adelaide,-34.934399,138.541505,FD534,14/7/2022,Adelaide (ADL / YPAD),Port Lincoln (PLO / YPLC),20:39:00,20:53:00
Adelaide,-34.934399,138.541505,FD596,13/7/2022,Adelaide (ADL / YPAD),Port Augusta (PUG / YPAG),18:14:00,18:27:00
Adelaide,-34.934399,138.541505,FD534,13/7/2022,Adelaide (ADL / YPAD),Ceduna (CED / YCDU),22:09:00,22:27:00
Adelaide,-34.934399,138.541505,FD530,15/7/2022,Adelaide (ADL / YPAD),Port Augusta (PUG / YPAG),13:22:00,13:37:00
Adelaide,-34.934399,138.541505,FD278,15/7/2022,Adelaide (ADL / YPAD),Broken Hill (BHQ / YBHI),21:21:00,21:38:00
Adelaide,-34.934399,138.541505,FD530,3/7/2022,Adelaide (ADL / YPAD),Whyalla (WYA / YWHA),06:24:00,06:33:00
Adelaide,-34.934399,138.541505,FD580,17/7/2022,Adelaide (ADL / YPAD),Port Augusta (PUG / YPAG),20:56:00,21:11:00
Adelaide,-34.934399,138.541505,FD856,6/7/2022,Adelaide (ADL / YPAD),Alice Springs (ASP / YBAS),01:18:00,01:38:00
Adelaide,-34.934399,138.541505,FD534,15/7/2022,Adelaide (ADL / YPAD),Port Lincoln (PLO / YPLC),19:30:00,19:45:00
