"","Location","Latitude","Longitude","AircraftId","Date","Origin","Destination","DepartureAEST","ArrivalAEST"
"42","Adelaide",-34.934399,138.541505,"FD534","17-07-2022","Adelaide (ADL / YPAD)","Port Augusta (PUG / YPAG)",09:58:00,10:12:00
"43","Adelaide",-34.934399,138.541505,"FD534","12-07-2022","Adelaide (ADL / YPAD)","Waikerie (YWKI)",08:46:00,08:50:00
"44","Adelaide",-34.934399,138.541505,"FD538","16-07-2022","Adelaide (ADL / YPAD)","Whyalla (WYA / YWHA)",07:19:00,07:33:00
"45","Adelaide",-34.934399,138.541505,"FD534","13-07-2022","Adelaide (ADL / YPAD)","Cummins Town (YCMM)",18:59:00,19:14:00
"46","Adelaide",-34.934399,138.541505,"FD596","07-07-2022","Adelaide (ADL / YPAD)","Kingscote (KGC / YKSC)",13:58:00,14:01:00
"47","Adelaide",-34.934399,138.541505,"FD534","15-07-2022","Adelaide (ADL / YPAD)","Wudinna (YWUD)",17:33:00,17:50:00
"48","Adelaide",-34.934399,138.541505,"FD596","05-07-2022","Adelaide (ADL / YPAD)","Millicent (MLR / YMCT)",17:47:00,18:03:00
"49","Adelaide",-34.934399,138.541505,"FD596","06-07-2022","Adelaide (ADL / YPAD)","Coober Pedy (CPD / YCBP)",15:55:00,16:14:00
"50","Adelaide",-34.934399,138.541505,"FD534","15-07-2022","Adelaide (ADL / YPAD)","Kingscote (KGC / YKSC)",18:50:00,18:51:00
"51","Adelaide",-34.934399,138.541505,"FD849","06-07-2022","Adelaide (ADL / YPAD)","Alice Springs (ASP / YBAS)",22:12:00,22:31:00
"52","Adelaide",-34.934399,138.541505,"FD596","12-07-2022","Adelaide (ADL / YPAD)","Port Augusta (PUG / YPAG)",10:15:00,10:31:00
"53","Adelaide",-34.934399,138.541505,"FD534","14-07-2022","Adelaide (ADL / YPAD)","Naracoorte (NAC / YNRC)",11:16:00,11:32:00
"54","Adelaide",-34.934399,138.541505,"FD534","16-07-2022","Adelaide (ADL / YPAD)","Olympic Dam (OLP / YOLD)",18:54:00,19:12:00
"55","Adelaide",-34.934399,138.541505,"FD534","12-07-2022","Adelaide (ADL / YPAD)","Port Augusta (PUG / YPAG)",20:46:00,20:59:00
"56","Adelaide",-34.934399,138.541505,"FD580","18-07-2022","Adelaide (ADL / YPAD)","Mount Gambier (MGB / YMTG)",08:25:00,08:38:00
"57","Adelaide",-34.934399,138.541505,"FD596","13-07-2022","Adelaide (ADL / YPAD)","Port Augusta (PUG / YPAG)",18:14:00,18:27:00
"58","Adelaide",-34.934399,138.541505,"FD596","14-07-2022","Adelaide (ADL / YPAD)","Adelaide (ADL / YPAD)",18:58:00,18:58:00
"59","Adelaide",-34.934399,138.541505,"FD534","14-07-2022","Adelaide (ADL / YPAD)","Port Pirie (PPI / YPIR)",00:11:00,00:18:00
"60","Adelaide",-34.934399,138.541505,"FD248","16-07-2022","Adelaide (ADL / YPAD)","Broken Hill (BHQ / YBHI)",18:08:00,18:25:00
"61","Adelaide",-34.934399,138.541505,"FD596","04-07-2022","Adelaide (ADL / YPAD)","Port Lincoln (PLO / YPLC)",17:31:00,17:43:00
"62","Adelaide",-34.934399,138.541505,"FD596","14-07-2022","Adelaide (ADL / YPAD)","Mount Gambier (MGB / YMTG)",02:26:00,02:43:00
"63","Adelaide",-34.934399,138.541505,"FD534","09-07-2022","Adelaide (ADL / YPAD)","Coober Pedy (CPD / YCBP)",14:27:00,14:46:00
"64","Adelaide",-34.934399,138.541505,"FD856","11-07-2022","Adelaide (ADL / YPAD)","Alice Springs (ASP / YBAS)",18:38:00,18:58:00
"65","Adelaide",-34.934399,138.541505,"FD534","14-07-2022","Adelaide (ADL / YPAD)","Port Lincoln (PLO / YPLC)",20:39:00,20:53:00
"66","Adelaide",-34.934399,138.541505,"FD278","15-07-2022","Adelaide (ADL / YPAD)","Broken Hill (BHQ / YBHI)",21:21:00,21:38:00
"67","Adelaide",-34.934399,138.541505,"FD534","12-07-2022","Adelaide (ADL / YPAD)","Port Lincoln (PLO / YPLC)",07:46:00,07:59:00
"68","Adelaide",-34.934399,138.541505,"FD534","15-07-2022","Adelaide (ADL / YPAD)","Pinaroo (YPNN)",13:59:00,14:07:00
"69","Adelaide",-34.934399,138.541505,"FD278","12-07-2022","Adelaide (ADL / YPAD)","Broken Hill (BHQ / YBHI)",00:26:00,00:43:00
"70","Adelaide",-34.934399,138.541505,"FD534","11-07-2022","Adelaide (ADL / YPAD)","Port Augusta (PUG / YPAG)",16:04:00,16:20:00
"71","Adelaide",-34.934399,138.541505,"FD596","10-07-2022","Adelaide (ADL / YPAD)","Maitland (YMLD)",20:57:00,20:58:00
"72","Adelaide",-34.934399,138.541505,"FD596","17-07-2022","Adelaide (ADL / YPAD)","Cowell (YCWL)",10:47:00,11:04:00
"73","Adelaide",-34.934399,138.541505,"FD580","10-07-2022","Adelaide (ADL / YPAD)","Tumby Bay (YTBB)",21:17:00,21:31:00
"74","Adelaide",-34.934399,138.541505,"FD534","11-07-2022","Adelaide (ADL / YPAD)","Port Augusta (PUG / YPAG)",21:30:00,21:45:00
"75","Adelaide",-34.934399,138.541505,"FD543","18-07-2022","Adelaide (ADL / YPAD)","Prominent Hill Mine (YPMH)",21:21:00,21:40:00
"76","Adelaide",-34.934399,138.541505,"FD580","08-07-2022","Adelaide (ADL / YPAD)","Whyalla (WYA / YWHA)",17:03:00,17:12:00
"77","Adelaide",-34.934399,138.541505,"FD596","12-07-2022","Adelaide (ADL / YPAD)","Whyalla (WYA / YWHA)",18:29:00,18:39:00
"78","Adelaide",-34.934399,138.541505,"FD534","10-07-2022","Adelaide (ADL / YPAD)","Ceduna (CED / YCDU)",15:06:00,15:25:00
"79","Adelaide",-34.934399,138.541505,"FD596","13-07-2022","Adelaide (ADL / YPAD)","Renmark (RMK / YREN)",05:37:00,05:45:00
"80","Adelaide",-34.934399,138.541505,"FD596","11-07-2022","Adelaide (ADL / YPAD)","Port Augusta (PUG / YPAG)",11:43:00,11:58:00
"81","Adelaide",-34.934399,138.541505,"FD596","05-07-2022","Adelaide (ADL / YPAD)","Mount Gambier (MGB / YMTG)",15:01:00,15:18:00
"82","Adelaide",-34.934399,138.541505,"FD596","07-07-2022","Adelaide (ADL / YPAD)","Naracoorte (NAC / YNRC)",07:46:00,08:01:00
"83","Adelaide",-34.934399,138.541505,"FD538","04-07-2022","Adelaide (ADL / YPAD)","Port Lincoln (PLO / YPLC)",18:32:00,18:44:00
"84","Adelaide",-34.934399,138.541505,"FD596","12-07-2022","Adelaide (ADL / YPAD)","Naracoorte (NAC / YNRC)",14:57:00,15:13:00
"85","Adelaide",-34.934399,138.541505,"FD538","17-07-2022","Adelaide (ADL / YPAD)","Mount Gambier (MGB / YMTG)",12:31:00,12:47:00
"86","Adelaide",-34.934399,138.541505,"FD580","17-07-2022","Adelaide (ADL / YPAD)","Port Augusta (PUG / YPAG)",20:56:00,21:11:00
"87","Adelaide",-34.934399,138.541505,"FD534","13-07-2022","Adelaide (ADL / YPAD)","Mount Gambier (MGB / YMTG)",15:06:00,15:24:00
"88","Adelaide",-34.934399,138.541505,"FD538","18-07-2022","Adelaide (ADL / YPAD)","Millicent (MLR / YMCT)",12:31:00,12:47:00
"89","Adelaide",-34.934399,138.541505,"FD534","10-07-2022","Adelaide (ADL / YPAD)","Clare Valley (YCVA)",02:45:00,02:49:00
"90","Adelaide",-34.934399,138.541505,"FD580","09-07-2022","Adelaide (ADL / YPAD)","Coober Pedy (CPD / YCBP)",12:19:00,12:38:00
"91","Adelaide",-34.934399,138.541505,"FD580","08-07-2022","Adelaide (ADL / YPAD)","Ceduna (CED / YCDU)",13:02:00,13:20:00
"92","Adelaide",-34.934399,138.541505,"FD534","09-07-2022","Adelaide (ADL / YPAD)","Renmark (RMK / YREN)",17:59:00,18:07:00
"93","Adelaide",-34.934399,138.541505,"FD530","03-07-2022","Adelaide (ADL / YPAD)","Whyalla (WYA / YWHA)",06:24:00,06:33:00
"94","Adelaide",-34.934399,138.541505,"FD534","11-07-2022","Adelaide (ADL / YPAD)","Mount Gambier (MGB / YMTG)",14:07:00,14:23:00
"95","Adelaide",-34.934399,138.541505,"FD849","05-07-2022","Adelaide (ADL / YPAD)","Alice Springs (ASP / YBAS)",15:55:00,16:14:00
"96","Adelaide",-34.934399,138.541505,"FD278","11-07-2022","Adelaide (ADL / YPAD)","Broken Hill (BHQ / YBHI)",23:21:00,23:39:00
"97","Adelaide",-34.934399,138.541505,"FD530","15-07-2022","Adelaide (ADL / YPAD)","Port Augusta (PUG / YPAG)",13:22:00,13:37:00
"98","Bankstown",-33.9164078,150.9916975,"FD213","17-07-2022","Bankstown (BWU / YSBK)","Dubbo (DBO / YSDU)",12:14:00,12:37:00
